N	Z	Atomic	Ma	
105	79	183	967452	
104	80	183	971713	
103	81	183	981870	
102	82	183	988142	
101	83	184	001120#	
113	72	184	958820#	
112	73	184	955559	
111	74	184	953419	3
110	75	184	952955	0
109	76	184	954042	3
108	77	184	956700	
107	78	184	960620	
106	79	184	965789	
105	80	184	971899	
104	81	184	978790	
103	82	184	987610	
102	83	184	997630#	
114	72	185	960890#	
113	73	185	958550	
112	74	185	954364	1
111	75	185	954986	1
110	76	185	953838	2
109	77	185	957946	
108	78	185	959351	
107	79	185	965953	
106	80	185	969362	
105	81	185	978330	
104	82	185	984239	
103	83	185	996600	
115	72	186	964590#	
114	73	186	960530#	
113	74	186	957160	5
112	75	186	955753	1
111	76	186	955750	5
110	77	186	957363	
109	78	186	960590	
108	79	186	964568	
107	80	186	969814	
106	81	186	975906	
105	82	186	983918	
104	83	186	993158	
116	72	187	966850#	
115	73	187	963700#	
114	74	187	958489	
113	75	187	958114	4
112	76	187	955838	2
111	77	187	958853	
110	78	187	959395	
109	79	187	965324	
108	80	187	967577	
107	81	187	976010	
106	82	187	980874	
105	83	187	992270	
104	84	187	999422	
116	73	188	965830#	
115	74	188	961910	
114	75	188	959229	
113	76	188	958147	5
112	77	188	958719	
111	78	188	960834	
110	79	188	963948	
109	80	188	968190	
108	81	188	973588	
107	82	188	980810	
106	83	188	989200	
105	84	188	998481	
117	73	189	969230#	
116	74	189	963180	
115	75	189	961820	
114	76	189	958447	0
113	77	189	960546	0
112	78	189	959932	
111	79	189	964700	
110	80	189	966322	
109	81	189	973880	
108	82	189	978082	
107	83	189	988300	
106	84	189	995101	
117	74	190	966600#	
116	75	190	963125	
115	76	190	960929	7
114	77	190	960594	0
113	78	190	961677	
112	79	190	963700	
111	80	190	967157	
110	81	190	971786	
109	82	190	978270	
108	83	190	985786	
107	84	190	994574	
118	74	191	968170#	
117	75	191	965960#	
116	76	191	961480	7
115	77	191	962605	0
114	78	191	961038	0
113	79	191	964813	
112	80	191	965634	
111	81	191	972230	
110	82	191	975785	
109	83	191	985460	
108	84	191	991335	
118	75	192	967470#	
117	76	192	964151	6
116	77	192	962926	4
115	78	192	962987	4
114	79	192	964150	
113	80	192	966665	
112	81	192	970670	
111	82	192	976170	
110	83	192	982960	
109	84	192	991030	
108	85	192	999840	
119	75	193	970420#	
118	76	193	965182	1
117	77	193	965078	4
116	78	193	962680	3
115	79	193	965365	
114	80	193	965439	
113	81	193	971200	
112	82	193	974012	
111	83	193	982830	
110	84	193	988186	
109	85	193	998730	
119	76	194	968130	
118	77	194	965979	6
117	78	194	964791	1
116	79	194	965034	6
115	80	194	966720	
114	81	194	969774	
113	82	194	974542	
112	83	194	980651	
111	84	194	988110	
110	85	194	996268	
109	86	195	005440	
120	76	195	969640	
119	77	195	968400	
118	78	195	964951	5
117	79	195	966570	
116	80	195	965833	
115	81	195	970481	
114	82	195	972774	
113	83	195	980667	
112	84	195	985535	
111	85	195	995790	
110	86	196	002115	
120	77	196	969653	
119	78	196	967340	2
118	79	196	966568	7
117	80	196	967213	
116	81	196	969575	
115	82	196	973431	
114	83	196	978864	
113	84	196	985660	
112	85	196	993190	
111	86	197	001580	
121	77	197	972280#	
120	78	197	967893	
119	79	197	968242	3
118	80	197	966769	0
117	81	197	970480	
116	82	197	972034	
115	83	197	979210	
114	84	197	983389	
113	85	197	992840	
112	86	197	998679	
122	77	198	973800	
121	78	198	970593	
120	79	198	968765	2
119	80	198	968279	9
118	81	198	969880	
117	82	198	972917	
116	83	198	977672	
115	84	198	983666	
114	85	198	990530	
113	86	198	998370	
112	87	199	007260	
122	78	199	971441	
121	79	199	970730	
120	80	199	968326	0
119	81	199	970963	
118	82	199	971827	
117	83	199	978132	
116	84	199	981799	
115	85	199	990351	
114	86	199	995699	
113	87	200	006570	
123	78	200	974510	
122	79	200	971657	
121	80	200	970302	3
120	81	200	970819	
119	82	200	972885	
118	83	200	977009	
117	84	200	982260	
116	85	200	988417	
115	86	200	995630	
114	87	201	003860	
124	78	201	975740#	
123	79	201	973810	
122	80	201	970643	0
121	81	201	972106	
120	82	201	972159	
119	83	201	977742	
118	84	201	980758	
117	85	201	988630	
116	86	201	993263	
115	87	202	003370	
114	88	202	009890	
124	79	202	975155	
123	80	202	972872	5
122	81	202	972344	2
121	82	202	973391	
120	83	202	976876	
119	84	202	981420	
118	85	202	986942	
117	86	202	993387	
116	87	203	000925	
115	88	203	009270	
125	79	203	977720#	
124	80	203	973493	9
123	81	203	973863	5
122	82	203	973043	6
121	83	203	977813	
120	84	203	980318	
119	85	203	987251	
118	86	203	991429	
117	87	204	000653	
116	88	204	006500	
126	79	204	979870#	
125	80	204	976073	
124	81	204	974427	5
123	82	204	974481	8
122	83	204	977389	
121	84	204	981203	
120	85	204	986074	
119	86	204	991720	
118	87	204	998594	
117	88	205	006270	
126	80	205	977514	
125	81	205	976110	3
124	82	205	974465	3
123	83	205	978499	
122	84	205	980481	
121	85	205	986667	
120	86	205	990214	
119	87	205	998670	
118	88	206	003827	
117	89	206	014500	
127	80	206	982590	
126	81	206	977419	
125	82	206	975896	9
124	83	206	978470	7
123	84	206	981593	
122	85	206	985784	
121	86	206	990734	
120	87	206	996950	
119	88	207	003800	
118	89	207	011950	
128	80	207	985940#	
127	81	207	982018	7
126	82	207	976652	1
125	83	207	979742	2
124	84	207	981245	7
123	85	207	986590	
122	86	207	989642	
121	87	207	997140	
120	88	208	001840	
119	89	208	011550	
129	80	208	991040#	
128	81	208	985359	
127	82	208	981090	1
126	83	208	980398	7
125	84	208	982430	4
124	85	208	986173	
123	86	208	990415	
122	87	208	995954	
121	88	209	001990	
120	89	209	009490	
119	90	209	017720	
130	80	209	994510#	
129	81	209	990074	
128	82	209	984188	5
127	83	209	984120	4
126	84	209	982873	7
125	85	209	987148	
124	86	209	989696	
123	87	209	996408	
122	88	210	000495	
121	89	210	009440	
120	90	210	015075	
130	81	210	993480#	
129	82	210	988737	0
128	83	210	987269	
127	84	210	986653	2
126	85	210	987496	3
125	86	210	990601	
124	87	210	995537	
123	88	211	000898	
122	89	211	007730	
121	90	211	014930	
131	81	211	998230#	
130	82	211	991897	5
129	83	211	991285	7
128	84	211	988868	0
127	85	211	990745	
126	86	211	990704	
125	87	211	996202	
124	88	211	999794	
123	89	212	007810	
122	90	212	012980	
121	91	212	023200	
131	82	212	996581	
130	83	212	994385	
129	84	212	992857	
128	85	212	992937	
127	86	212	993883	
126	87	212	996189	
125	88	213	000384	
124	89	213	006610	
123	90	213	013010	
122	91	213	021110	
132	82	213	999805	4
131	83	213	998712	
130	84	213	995201	4
129	85	213	996372	
128	86	213	995363	
127	87	213	998971	
126	88	214	000108	
125	89	214	006902	
124	90	214	011500	
123	91	214	020920	
133	82	215	004810#	
132	83	215	001770	
131	84	214	999420	0
130	85	214	998653	
129	86	214	998745	
128	87	215	000341	
127	88	215	002720	
126	89	215	006454	
125	90	215	011730	
124	91	215	019190	
133	83	216	006306	
132	84	216	001915	0
131	85	216	002423	
130	86	216	000274	
129	87	216	003198	
128	88	216	003533	
127	89	216	008720	
126	90	216	011062	
125	91	216	019110	
134	83	217	009470#	
133	84	217	006335	
132	85	217	004719	
131	86	217	003928	
130	87	217	004632	
129	88	217	006320	
128	89	217	009347	
127	90	217	013114	
126	91	217	018320	
125	92	217	024370	
135	83	218	014320#	
134	84	218	008973	0
133	85	218	008694	
132	86	218	005601	3
131	87	218	007578	
130	88	218	007140	
129	89	218	011640	
128	90	218	013284	
127	91	218	020042	
126	92	218	023540	
135	84	219	013740#	
134	85	219	011162	
133	86	219	009480	2
132	87	219	009252	
131	88	219	010085	
130	89	219	012420	
129	90	219	015540	
128	91	219	019880	
127	92	219	024920	
136	84	220	016600#	
135	85	220	015410	
134	86	220	011394	0
133	87	220	012327	
132	88	220	011028	
131	89	220	014763	
130	90	220	015748	
129	91	220	021880	
128	92	220	024720#	
136	85	221	018050#	
135	86	221	015537	
134	87	221	014255	
133	88	221	013917	
132	89	221	015590	
131	90	221	018184	
130	91	221	021880	
129	92	221	026400#	
137	85	222	022330#	
136	86	222	017577	7
135	87	222	017552	
134	88	222	015375	
133	89	222	017844	
132	90	222	018468	
131	91	222	023740#	
130	92	222	026090#	
138	85	223	025190#	
137	86	223	021790#	
136	87	223	019735	9
135	88	223	018502	2
134	89	223	019137	
133	90	223	020811	
132	91	223	023960	
131	92	223	027740	
138	86	224	024090#	
137	87	224	023250	
136	88	224	020211	8
135	89	224	021723	
134	90	224	021467	
133	91	224	025626	
132	92	224	027605	
139	86	225	028440#	
138	87	225	025570	
137	88	225	023612	
136	89	225	023230	
135	90	225	023951	
134	91	225	026130	
133	92	225	029391	
132	93	225	033910	
140	86	226	030890#	
139	87	226	029390	
138	88	226	025409	8
137	89	226	026098	
136	90	226	024903	
135	91	226	027948	
134	92	226	029339	
133	93	226	035150#	
141	86	227	035410#	
140	87	227	031840	
139	88	227	029177	8
138	89	227	027752	1
137	90	227	027704	1
136	91	227	028805	
135	92	227	031156	
134	93	227	034960	
142	86	228	037990#	
141	87	228	035730#	
140	88	228	031070	3
139	89	228	031021	1
138	90	228	028741	1
137	91	228	031051	
136	92	228	031374	
135	93	228	036180#	
134	94	228	038740	
142	87	229	038450	
141	88	229	034958	
140	89	229	033020	
139	90	229	031762	
138	91	229	032096	8
137	92	229	033506	
136	93	229	036260	
135	94	229	040150	
143	87	230	042510#	
142	88	230	037056	
141	89	230	036290	
140	90	230	033133	8
139	91	230	034541	
138	92	230	033940	
137	93	230	037830	
136	94	230	039650	
144	87	231	045440#	
143	88	231	041220#	
142	89	231	038560	
141	90	231	036304	3
140	91	231	035884	0
139	92	231	036294	
138	93	231	038250	
137	94	231	041101	
136	95	231	045560#	
145	87	232	049770#	
144	88	232	043640#	
143	89	232	042030	
142	90	232	038055	3
141	91	232	038592	
140	92	232	037156	2
139	93	232	040110#	
138	94	232	041187	
137	95	232	046590#	
145	88	233	048060#	
144	89	233	044550#	
143	90	233	041581	8
142	91	233	040247	3
141	92	233	039635	2
140	93	233	040740	
139	94	233	043000	
138	95	233	046350#	
137	96	233	050770	
146	88	234	050700#	
145	89	234	048420#	
144	90	234	043601	
143	91	234	043308	
142	92	234	040952	1
141	93	234	042895	
140	94	234	043317	
139	95	234	047810#	
138	96	234	050160	
146	89	235	051230#	
145	90	235	047510	
144	91	235	045440	
143	92	235	043929	9
142	93	235	044063	3
141	94	235	045286	
140	95	235	047950#	
139	96	235	051430#	
138	97	235	056580#	
147	89	236	055300#	
146	90	236	049870#	
145	91	236	048680	
144	92	236	045568	0
143	93	236	046570	
142	94	236	046058	0
141	95	236	049580#	
140	96	236	051410#	
139	97	236	057330#	
147	90	237	053890#	
146	91	237	051150	
145	92	237	048730	2
144	93	237	048173	4
143	94	237	048409	7
142	95	237	050000#	
141	96	237	052900#	
140	97	237	057000#	
139	98	237	062070#	
148	90	238	056500#	
147	91	238	054500	
146	92	238	050788	2
145	93	238	050946	4
144	94	238	049559	9
143	95	238	051980	
142	96	238	053030	
141	97	238	058280#	
140	98	238	061410#	
148	91	239	057260#	
147	92	239	054293	3
146	93	239	052939	0
145	94	239	052163	4
144	95	239	053024	5
143	96	239	054960#	
142	97	239	058280#	
141	98	239	062420#	
149	91	240	060980#	
148	92	240	056592	
147	93	240	056162	
146	94	240	053813	5
145	95	240	055300	
144	96	240	055529	5
143	97	240	059760#	
142	98	240	062300#	
141	99	240	068920#	
149	92	241	060330#	
148	93	241	058250	
147	94	241	056851	5
146	95	241	056829	1
145	96	241	057653	0
144	97	241	060230#	
143	98	241	063730#	
142	99	241	068540#	
150	92	242	062930#	
149	93	242	061640	
148	94	242	058742	6
147	95	242	059549	2
146	96	242	058835	8
145	97	242	061980#	
144	98	242	063700	
143	99	242	069750#	
142	100	242	073430#	
150	93	243	064280#	
149	94	243	062003	
148	95	243	061381	1
147	96	243	061389	1
146	97	243	063008	
145	98	243	065430#	
144	99	243	069550#	
143	100	243	074350#	
151	93	244	067850#	
150	94	244	064204	
149	95	244	064284	8
148	96	244	062752	6
147	97	244	065181	
146	98	244	066001	
145	99	244	070880#	
144	100	244	074080#	
151	94	245	067747	
150	95	245	066452	
149	96	245	065491	2
148	97	245	066361	6
147	98	245	068049	
146	99	245	071320#	
145	100	245	075390#	
144	101	245	080830#	
152	94	246	070205	
151	95	246	069775	
150	96	246	067223	7
149	97	246	068670	
148	98	246	068805	3
147	99	246	072900#	
146	100	246	075300	
145	101	246	081890#	
153	94	247	074070#	
152	95	247	072090#	
151	96	247	070354	
150	97	247	070307	
149	98	247	071001	
148	99	247	073660#	
147	100	247	076850#	
146	101	247	081640#	
153	95	248	075750#	
152	96	248	072349	
151	97	248	073090#	
150	98	248	072185	
149	99	248	075470#	
148	100	248	077195	
147	101	248	082820#	
146	102	248	086600#	
154	95	249	078480#	
153	96	249	075953	
152	97	249	074986	7
151	98	249	074853	5
150	99	249	076410#	
149	100	249	079030#	
148	101	249	083010#	
147	102	249	087830#	
154	96	250	078357	
153	97	250	078317	
152	98	250	076406	1
151	99	250	078610#	
150	100	250	079521	
149	101	250	084420#	
148	102	250	087510#	
155	96	251	082285	
154	97	251	080760	
153	98	251	079587	
152	99	251	079992	
151	100	251	081575	
150	101	251	084840#	
149	102	251	089010#	
148	103	251	094360#	
156	96	252	084870#	
155	97	252	084310#	
154	98	252	081626	
153	99	252	082980	
152	100	252	082467	
151	101	252	086560#	
150	102	252	088977	
149	103	252	095370#	
156	97	253	086880#	
155	98	253	085133	
154	99	253	084824	7
153	100	253	085185	
152	101	253	087280#	
151	102	253	090680#	
150	103	253	095210#	
149	104	253	100690#	
157	97	254	090600#	
156	98	254	087323	
155	99	254	088022	
154	100	254	086854	2
153	101	254	089660#	
152	102	254	090955	
151	103	254	096450#	
150	104	254	100180#	
157	98	255	091050#	
156	99	255	090273	
155	100	255	089962	
154	101	255	091083	
153	102	255	093241	
152	103	255	096680#	
151	104	255	101340#	
150	105	255	107400#	
158	98	256	093440#	
157	99	256	093600#	
156	100	256	091773	
155	101	256	094060	
154	102	256	094283	
153	103	256	098630#	
152	104	256	101166	
151	105	256	108130#	
158	99	257	095980#	
157	100	257	095105	
156	101	257	095541	
155	102	257	096877	
154	103	257	099560#	
153	104	257	102990#	
152	105	257	107720#	
159	99	258	099520#	
158	100	258	097080#	
157	101	258	098431	
156	102	258	098210#	
155	103	258	101810#	
154	104	258	103490#	
153	105	258	109230#	
152	106	258	113170#	
159	100	259	100600#	
158	101	259	100510#	
157	102	259	101030#	
156	103	259	102900#	
155	104	259	105640#	
154	105	259	109610#	
153	106	259	114500#	
160	100	260	102680#	
159	101	260	103650#	
158	102	260	102640#	
157	103	260	105500#	
156	104	260	106440#	
155	105	260	111300#	
154	106	260	114420	
153	107	260	121970#	
160	101	261	105720#	
159	102	261	105750#	
158	103	261	106880#	
157	104	261	108770	
156	105	261	112060#	
155	106	261	116120#	
154	107	261	121660#	
161	101	262	108870#	
160	102	262	107300#	
159	103	262	109630#	
158	104	262	109930#	
157	105	262	114080#	
156	106	262	116400#	
155	107	262	122890#	
161	102	263	110550#	
160	103	263	111290#	
159	104	263	112550#	
158	105	263	114990#	
157	106	263	118320#	
156	107	263	123040#	
155	108	263	128560#	
162	102	264	112350#	
161	103	264	114040#	
160	104	264	113990#	
159	105	264	117400#	
158	106	264	118930#	
157	107	264	124600#	
156	108	264	128390	
162	103	265	115840#	
161	104	265	116700#	
160	105	265	118600#	
159	106	265	121110	
158	107	265	125150#	
157	108	265	130090#	
156	109	265	136150#	
163	103	266	119310#	
162	104	266	117960#	
161	105	266	121030#	
160	106	266	122070#	
159	107	266	126940#	
158	108	266	130100#	
157	109	266	137300#	
163	104	267	121530#	
162	105	267	122380#	
161	106	267	124430#	
160	107	267	127650#	
159	108	267	131790#	
158	109	267	137310#	
157	110	267	144340#	
164	104	268	123640#	
163	105	268	125450#	
162	106	268	125610#	
161	107	268	129760#	
160	108	268	132160#	
159	109	268	138730#	
158	110	268	143800#	
164	105	269	127460#	
163	106	269	128760#	
162	107	269	130690#	
161	108	269	134060#	
160	109	269	139060#	
159	110	269	145120#	
165	105	270	130710#	
164	106	270	130330#	
163	107	270	133620#	
162	108	270	134650#	
161	109	270	140660#	
160	110	270	144720#	
165	106	271	133470#	
164	107	271	135180#	
163	108	271	137660#	
162	109	271	141140#	
161	110	271	146060#	
166	106	272	135160#	
165	107	272	138030#	
164	108	272	139050#	
163	109	272	143740#	
162	110	272	146320#	
161	111	272	153620#	
167	106	273	138220#	
166	107	273	139620#	
165	108	273	141990#	
164	109	273	144910#	
163	110	273	148860#	
162	111	273	153680#	
167	107	274	142440#	
166	108	274	143130#	
165	109	274	147490#	
164	110	274	149490#	
163	111	274	155710#	
168	107	275	144250#	
167	108	275	145950#	
166	109	275	148650#	
165	110	275	152180#	
164	111	275	156140#	
168	108	276	147210#	
167	109	276	151160#	
166	110	276	153030#	
165	111	276	158490#	
169	108	277	149840#	
168	109	277	152420#	
167	110	277	155650#	
166	111	277	159520#	
165	112	277	163940#	
169	109	278	154810#	
168	110	278	156470#	
167	111	278	161600#	
166	112	278	164310#	
170	109	279	156190#	
169	110	279	158860#	
168	111	279	162470#	
167	112	279	166550#	
170	110	280	159800#	
169	111	280	164470#	
168	112	280	167040#	
171	110	281	162060#	
170	111	281	165370#	
169	112	281	169290#	
171	111	282	167490#	
170	112	282	169770#	
172	111	283	168420#	
171	112	283	171790#	
170	113	283	176450#	
172	112	284	172380#	
171	113	284	178080#	
173	112	285	174110#	
172	113	285	178730#	
171	114	285	183700#	
173	113	286	180480#	
172	114	286	183860#	
174	113	287	181050#	
173	114	287	185600#	
172	115	287	191190#	
174	114	288	185690#	
173	115	288	192490#	
175	114	289	187280#	
174	115	289	192720#	
173	116	289	198860#	
175	115	290	194140#	
174	116	290	198590#	
176	115	291	194380#	
175	116	291	200010#	
174	117	291	206560#	
176	116	292	199790#	
175	117	292	207550#	
175	118	293	214670#	
